NumShapes,BestAcc,N70_channels,N90_channels
1,1,4,4
2,1,4,4
3,1,4,4
4,1,4,4
5,0.916666666666667,4,4
6,0.834444444444445,4,9.63902439024393
7,0.883809523809524,4,23.6244897959184
8,0.835833333333333,5.14497354497355,17.8222222222222
9,0.829259259259259,6.09903846153846,20.815037593985
